teamID,leagueID,year,players,goals,home_goals,away_goals,first_half_goals,second_half_goals
4,1,2013/2014,Olivier Giroud,16,10,6,9,7
4,1,2013/2014,Aaron Ramsey,10,3,7,3,7
4,1,2013/2014,Lukas Podolski,8,3,5,3,5
4,1,2013/2014,Theo Walcott,5,1,4,1,4
4,1,2013/2014,Mesut Ozil,5,5,0,1,4
4,1,2013/2014,Santi Cazorla,4,3,1,1,3
4,1,2013/2014,Jack Wilshere,3,1,2,2,1
4,1,2013/2014,Per Mertesacker,2,1,1,1,1
4,1,2013/2014,Mikel Arteta,2,0,2,0,2
4,1,2013/2014,Laurent Koscielny,2,2,0,1,1
4,1,2013/2014,Mathieu Flamini,2,1,1,0,2
4,1,2013/2014,Nicklas Bendtner,2,2,0,1,1
4,1,2013/2014,Alex Oxlade-Chamberlain,2,2,0,0,2
4,1,2013/2014,Tomas Rosicky,2,1,1,2,0
4,1,2013/2014,Serge Gnabry,1,0,1,0,1
4,1,2013/2014,Bacary Sagna,1,1,0,0,1
4,1,2013/2014,Carl Jenkinson,1,0,1,0,1
