teamID,leagueID,year,players,goals,home_goals,away_goals,first_half_goals,second_half_goals
5,1,2013/2014,Romelu Lukaku,15,10,5,4,11
5,1,2013/2014,Kevin Mirallas,8,6,2,3,5
5,1,2013/2014,Seamus Coleman,6,4,2,1,5
5,1,2013/2014,Ross Barkley,6,3,3,3,3
5,1,2013/2014,Leighton Baines,5,2,3,2,3
5,1,2013/2014,Steven Naismith,5,4,1,2,3
5,1,2013/2014,Gareth Barry,3,3,0,2,1
5,1,2013/2014,Gerard Deulofeu,3,2,1,1,2
5,1,2013/2014,Leon Osman,3,1,2,1,2
5,1,2013/2014,Bryan Oviedo,2,1,1,0,2
5,1,2013/2014,Steven Pienaar,1,1,0,0,1
5,1,2013/2014,James McCarthy,1,0,1,1,0
